IdLemma,Lemma,Forma,Coll.Geografica,Latitudine,Longitudine,Tipo coll.Geografica,Anno,Periodo,IDPeriodo,Datazione,Categoria,Frequenza,URL,IdAmbito
2105,aarìso,aariso,Firenze,"43,7696","11,2558",Città,1325,I quarto del XIV secolo,13,Sec. XIV primo quarto,Brodi brodetti minestre zuppe,2,https://www.atliteg.org/lemmi/aarso/2105,
4133,acciugata,acciugata,Napoli,"40,8518","14,2681",Città,1820,I quarto del XIX secolo,33,"1820, 6ª ed.",Salse,2,https://www.atliteg.org/lemmi/acciugata/4133,
4133,acciugata,acciugata,Siena,"43,3188","11,3308",Città,1845,II quarto del XIX secolo,34,1845,Salse,1,https://www.atliteg.org/lemmi/acciugata/4133,
4133,acciugata,acciugata,Firenze,"43,7696","11,2558",Città,1874,III quarto del XIX secolo,35,1874,Salse,5,https://www.atliteg.org/lemmi/acciugata/4133,
4133,acciugata,acciugata,Genova,"44,4056","8,9463",Città,1893,IV quarto del XIX secolo,36,"1893, 8ª ed.",Salse,1,https://www.atliteg.org/lemmi/acciugata/4133,
2121,aggiazzata,aggiazzate,Sicilia,#N/A,#N/A,Regione,1748,II quarto del XVIII secolo,30,1748,Dolci e dessert,1,https://www.atliteg.org/lemmi/aggiazzata/2121,
2121,aggiazzata,aggiazziata,Sicilia,#N/A,#N/A,Regione,1748,II quarto del XVIII secolo,30,1748,Dolci e dessert,1,https://www.atliteg.org/lemmi/aggiazzata/2121,
2121,aggiazzata,aggiazzata,Sicilia,#N/A,#N/A,Regione,1748,II quarto del XVIII secolo,30,1748,Dolci e dessert,16,https://www.atliteg.org/lemmi/aggiazzata/2121,
2106,agliata,alleata,Napoli,"40,8518","14,2681",Città,1314,I quarto del XIV secolo,13,1308-1314,Salse,3,https://www.atliteg.org/lemmi/agliata/2106,
2106,agliata,alleata,Napoli,"40,8518","14,2681",Città,1366,III quarto del XIV secolo,15,Sec. XIV secondo terzo,Salse,4,https://www.atliteg.org/lemmi/agliata/2106,
2106,agliata,alleata,Bolzano,"46,4983","11,3548",Città,1465,III quarto del XV secolo,19,1461-1465,Salse,3,https://www.atliteg.org/lemmi/agliata/2106,
